epoch,0_percent,25_percent,50_percent,75_percent,100_percent
1,0.5931000000000001,0.45409999999999995,0.33,0.2183,0.1506
2,0.6420999999999999,0.4925,0.35359999999999997,0.2255,0.1416
3,0.6668000000000001,0.5102,0.36579999999999996,0.23420000000000002,0.1401
4,0.6792,0.5216,0.37020000000000003,0.23800000000000002,0.1393
5,0.6843,0.5276,0.37689999999999996,0.2415,0.1379
6,0.6903,0.5276,0.37549999999999994,0.24050000000000002,0.1389
7,0.6957,0.5343,0.3809,0.2414,0.1386
8,0.6981,0.5377000000000001,0.3815,0.2446,0.1378
9,0.7011,0.5384,0.3848,0.2427,0.13970000000000002
10,0.7023,0.54,0.3858,0.2463,0.13949999999999999
11,0.7017,0.536,0.3837,0.2439,0.1404
12,0.7041,0.5392,0.3837,0.2451,0.1392
13,0.7020000000000001,0.5385,0.3857,0.2437,0.1377
14,0.7012,0.5355,0.3835,0.24309999999999998,0.1401
15,0.7055,0.5403,0.3834,0.2452,0.1386
16,0.7053,0.5377000000000001,0.3846,0.2444,0.1384
17,0.7028,0.5359,0.379,0.2433,0.1382
18,0.7048000000000001,0.5389,0.3848,0.2437,0.1398
19,0.703,0.5365,0.38770000000000004,0.2441,0.1398
20,0.6986,0.5375,0.3809,0.24050000000000002,0.1398
21,0.6995999999999999,0.5343,0.38130000000000003,0.2426,0.1398
22,0.7006,0.5327000000000001,0.37729999999999997,0.24280000000000002,0.1376
23,0.6970000000000001,0.5331,0.3796,0.243,0.13970000000000002
24,0.6976,0.5335,0.37979999999999997,0.2432,0.1373
25,0.6957,0.5339,0.38,0.2409,0.1396
26,0.6987000000000001,0.5343,0.38020000000000004,0.23829999999999998,0.1396
27,0.6939,0.532,0.37770000000000004,0.2408,0.1396
28,0.6940999999999999,0.5322,0.38049999999999995,0.2408,0.1396
29,0.6943,0.5324,0.3778,0.2379,0.1396
30,0.6884999999999999,0.5236,0.3718,0.2377,0.1396
31,0.6914,0.5263,0.3776,0.2375,0.1396
32,0.6881999999999999,0.5261,0.3712,0.2341,0.1396
33,0.688,0.5259,0.3741,0.237,0.1363
34,0.6878,0.5257000000000001,0.3705,0.2368,0.13949999999999999
35,0.6876000000000001,0.522,0.3736,0.23309999999999997,0.13949999999999999
36,0.6873999999999999,0.5216,0.3734,0.2327,0.13949999999999999
37,0.6798000000000001,0.5249,0.37689999999999996,0.23600000000000002,0.13949999999999999
38,0.6829999999999999,0.5209,0.37310000000000004,0.22820000000000001,0.13949999999999999
39,0.6826000000000001,0.5166,0.369,0.23149999999999998,0.13949999999999999
40,0.6822,0.52,0.3726,0.2351,0.13949999999999999
41,0.6777,0.5236999999999999,0.36829999999999996,0.23079999999999998,0.13949999999999999
42,0.6812999999999999,0.5151,0.3721,0.2262,0.13949999999999999
43,0.6766,0.5188,0.3676,0.2299,0.1352
44,0.6759999999999999,0.5184000000000001,0.3716,0.22949999999999998,0.1438
45,0.6754000000000001,0.518,0.3669,0.2291,0.13949999999999999
46,0.6794,0.5176,0.3665,0.22870000000000001,0.13949999999999999
47,0.679,0.5172,0.3661,0.233,0.13949999999999999
48,0.6786,0.5168,0.3657,0.228,0.13949999999999999
49,0.6684,0.5164,0.3653,0.22760000000000002,0.13949999999999999
50,0.6726000000000001,0.516,0.3649,0.22719999999999999,0.13949999999999999
