epoch,0_percent,25_percent,50_percent,75_percent,100_percent
1,0.3549,0.1423,0.0197,0.0006,0.0143
2,0.49829999999999997,0.24989999999999998,0.039900000000000005,0.0004,0.024700000000000003
3,0.5739,0.3098,0.0571,0.0005,0.0297
4,0.6201,0.3568,0.0689,0.0005,0.0329
5,0.6493000000000001,0.38770000000000004,0.0819,0.0,0.0339
6,0.6689,0.40869999999999995,0.08710000000000001,0.0004,0.0379
7,0.6883,0.4303,0.08710000000000001,-0.0003,0.0387
8,0.7015,0.4457,0.0951,0.0003,0.039900000000000005
9,0.7114,0.4521,0.10039999999999999,0.0003,0.0405
10,0.7214,0.4657,0.1148,0.0003,0.0435
11,0.731,0.4727,0.106,0.0003,0.0424
12,0.7406,0.4827,0.10439999999999999,0.0003,0.042800000000000005
13,0.7487999999999999,0.4916,0.1153,0.0003,0.0429
14,0.7504000000000001,0.4928,0.1193,0.0003,0.0441
15,0.7606999999999999,0.5027,0.1215,0.0003,0.0453
16,0.7653,0.5053,0.1295,0.0003,0.0449
17,0.7698,0.5126,0.11259999999999999,0.0003,0.045899999999999996
18,0.7728,0.5172,0.126,0.0003,0.0451
19,0.7781,0.5206000000000001,0.145,0.0003,0.0478
20,0.7785,0.5247999999999999,0.1304,0.0003,0.046799999999999994
21,0.7837000000000001,0.5281,0.1317,0.0003,0.0455
22,0.7905,0.5305,0.1261,0.0003,0.050499999999999996
23,0.7947,0.5389,0.1354,0.0003,0.046900000000000004
24,0.7983,0.5401,0.1408,0.0003,0.0499
25,0.7963,0.5428999999999999,0.14150000000000001,0.0003,0.0482
26,0.7983,0.5425,0.1471,0.0003,0.048799999999999996
27,0.8024,0.5466,0.13949999999999999,0.0003,0.049400000000000006
28,0.8062,0.5476,0.1503,0.0003,0.05
29,0.8126000000000001,0.5567,0.15039999999999998,0.0003,0.0506
30,0.813,0.5540999999999999,0.1412,0.0003,0.0512
31,0.8190000000000001,0.5599000000000001,0.1494,0.0003,0.054900000000000004
32,0.8154,0.5593,0.14859999999999998,0.0003,0.0493
33,0.8208,0.5614,0.16399999999999998,0.0003,0.053
34,0.8228,0.5666,0.1534,0.0003,0.050199999999999995
35,0.821,0.5578,0.1591,0.0003,0.0506
36,0.8294,0.5658,0.16149999999999998,0.0003,0.0546
37,0.8306999999999999,0.5704,0.16390000000000002,0.0003,0.051500000000000004
38,0.8317,0.5711999999999999,0.1739,0.0003,0.0557
39,0.8323999999999999,0.5756,0.1572,0.0003,0.0524
40,0.8328,0.5720000000000001,0.159,0.0003,0.0528
41,0.8370000000000001,0.5760000000000001,0.1485,0.0003,0.053200000000000004
42,0.8328,0.5758,0.1623,0.0003,0.057800000000000004
43,0.8409,0.5753,0.1684,0.0003,0.0541
44,0.8449,0.5832999999999999,0.1748,0.0003,0.0545
45,0.8443999999999999,0.5826,0.159,0.0003,0.0504
46,0.8436,0.5816,0.1512,0.0003,0.0552
47,0.8472,0.5897,0.1475,0.0003,0.0556
48,0.846,0.5837,0.16269999999999998,0.0003,0.055999999999999994
49,0.8493999999999999,0.5820000000000001,0.1837,0.0003,0.051500000000000004
50,0.8528,0.59,0.1809,0.0053,0.0567
