epoch,0_percent,25_percent,50_percent,75_percent,100_percent
1,0.0407,0.015700000000000002,0.0009,0.0001,0.0
2,0.0801,0.0429,0.0043,0.0001,0.0002
3,0.10210000000000001,0.0506,0.0092,0.0001,0.0013
4,0.1267,0.0524,0.0088,0.0001,0.0033
5,0.1489,0.0649,0.009300000000000001,0.0001,0.0037
6,0.1837,0.09269999999999999,0.0101,0.0001,0.0053
7,0.2089,0.1099,0.0092,0.0001,0.0044
8,0.2281,0.12050000000000001,0.011399999999999999,0.0001,0.005
9,0.247,0.129,0.0106,0.0001,0.005600000000000001
10,0.2648,0.1364,0.012199999999999999,0.0001,0.0052
11,0.28190000000000004,0.1409,0.011899999999999999,0.0001,0.0067
12,0.2963,0.1457,0.0161,0.0001,0.0060999999999999995
13,0.31670000000000004,0.1555,0.016,0.0001,0.006500000000000001
14,0.3273,0.15410000000000001,0.0184,0.0001,0.0055000000000000005
15,0.34630000000000005,0.1623,0.021099999999999997,0.0016,0.0072
16,0.3605,0.1641,0.0209,0.0002,0.0076
17,0.3772,0.1732,0.0187,0.0002,0.008
18,0.39,0.1754,0.0213,0.0002,0.0084
19,0.40759999999999996,0.18239999999999998,0.0242,0.0002,0.0069
20,0.42119999999999996,0.18739999999999998,0.0254,0.0002,0.0091
21,0.43420000000000003,0.1942,0.026600000000000002,0.0002,0.0095
22,0.44659999999999994,0.19879999999999998,0.0212,0.0002,0.009899999999999999
23,0.45840000000000003,0.2077,0.0287,0.0002,0.0103
24,0.47200000000000003,0.2121,0.025099999999999997,0.0026,0.010700000000000001
25,0.4803,0.2162,0.0259,0.0003,0.013600000000000001
26,0.4903,0.21739999999999998,0.026699999999999998,0.0003,0.0116
27,0.4997,0.2261,0.0275,0.0003,0.012
28,0.5085000000000001,0.2267,0.0311,0.0003,0.0152
29,0.5225,0.2354,0.035,0.0003,0.0129
30,0.5305,0.2384,0.027200000000000002,0.0003,0.0163
31,0.541,0.24109999999999998,0.030899999999999997,0.0003,0.0169
32,0.5512,0.24350000000000002,0.0317,0.0003,0.0175
33,0.5578,0.24559999999999998,0.0325,0.0003,0.0181
34,0.5774,0.25420000000000004,0.029900000000000003,0.0003,0.015300000000000001
35,0.5836,0.2526,0.0305,0.0003,0.0192
36,0.5964,0.2576,0.0347,0.0003,0.023399999999999997
37,0.6092,0.2626,0.0355,0.0003,0.0168
38,0.622,0.2638,0.0401,0.0003,0.021
39,0.627,0.2686,0.037200000000000004,0.0003,0.0216
40,0.6314,0.2734,0.034,0.0003,0.0222
41,0.6434000000000001,0.2741,0.0305,0.0003,0.022799999999999997
42,0.6512,0.2787,0.0393,0.0003,0.023399999999999997
43,0.6587000000000001,0.27899999999999997,0.0358,0.0003,0.024
44,0.6659,0.2834,0.0408,0.0003,0.0246
45,0.6683,0.2878,0.0371,0.0003,0.0252
46,0.6747,0.2876,0.0377,0.0003,0.0258
47,0.6855,0.2965,0.0383,0.0003,0.0217
48,0.6867,0.2961,0.0437,0.0003,0.0269
49,0.6873,0.3003,0.044500000000000005,0.0003,0.0275
50,0.7023,0.3045,0.0453,0.0003,0.0281
