epoch,0_percent,25_percent,50_percent,75_percent,100_percent
1,0.1666,0.15810000000000002,0.1407,0.1326,0.1408
2,0.1858,0.1723,0.1525,0.134,0.14
3,0.1981,0.1796,0.15410000000000001,0.1393,0.1392
4,0.20670000000000002,0.1888,0.1583,0.1413,0.1388
5,0.2278,0.2087,0.16440000000000002,0.1413,0.13720000000000002
6,0.2582,0.23550000000000001,0.1696,0.1407,0.1398
7,0.2975,0.2619,0.1776,0.1417,0.13720000000000002
8,0.3345,0.2823,0.18280000000000002,0.1419,0.1382
9,0.3667,0.3,0.1931,0.1445,0.1407
10,0.3901,0.31079999999999997,0.1999,0.1477,0.1391
11,0.40840000000000004,0.31670000000000004,0.2023,0.1493,0.1402
12,0.4288,0.32770000000000005,0.2107,0.1533,0.1404
13,0.44380000000000003,0.33490000000000003,0.2184,0.1566,0.1367
14,0.455,0.3375,0.225,0.1574,0.1391
15,0.47700000000000004,0.3527,0.2346,0.16390000000000002,0.1406
16,0.4878,0.35409999999999997,0.2352,0.16329999999999997,0.1376
17,0.505,0.35850000000000004,0.2414,0.17059999999999997,0.1408
18,0.5144,0.3617,0.24760000000000001,0.1698,0.1374
19,0.5257999999999999,0.36939999999999995,0.25379999999999997,0.1722,0.141
20,0.532,0.3688,0.252,0.1726,0.1392
21,0.5427000000000001,0.3772,0.2595,0.1748,0.1413
22,0.5525,0.379,0.26289999999999997,0.17920000000000003,0.1393
23,0.5683,0.38909999999999995,0.2706,0.1793,0.13699999999999998
24,0.5745,0.3923,0.26899999999999996,0.1839,0.1392
25,0.5820000000000001,0.39490000000000003,0.27149999999999996,0.1838,0.1392
26,0.5886,0.3995,0.2815,0.1834,0.1392
27,0.597,0.40380000000000005,0.2786,0.18539999999999998,0.1392
28,0.602,0.4022,0.2832,0.18739999999999998,0.1392
29,0.6148,0.4142,0.2878,0.1923,0.1392
30,0.6186,0.41479999999999995,0.2894,0.19149999999999998,0.1392
31,0.6277,0.41479999999999995,0.2907,0.1935,0.1423
32,0.6333,0.4238,0.28850000000000003,0.1923,0.1393
33,0.6383,0.41659999999999997,0.2923,0.1941,0.136
34,0.6563,0.4252,0.2961,0.1959,0.1392
35,0.6574,0.4236,0.2929,0.1942,0.1392
36,0.672,0.4286,0.2999,0.19940000000000002,0.1392
37,0.6758,0.43729999999999997,0.2998,0.1975,0.1392
38,0.6866,0.4387,0.3032,0.1991,0.1392
39,0.6934999999999999,0.4359,0.3066,0.2007,0.1392
40,0.6960999999999999,0.44049999999999995,0.302,0.19829999999999998,0.1392
41,0.7021999999999999,0.441,0.305,0.20379999999999998,0.1392
42,0.708,0.4454,0.3038,0.20120000000000002,0.1392
43,0.7178,0.44549999999999995,0.3109,0.2026,0.1392
44,0.7232,0.4497,0.3139,0.2084,0.1392
45,0.7238,0.4539,0.3169,0.20550000000000002,0.1392
46,0.7284,0.4535,0.3107,0.2069,0.1392
47,0.7373999999999999,0.4575,0.318,0.20829999999999999,0.1392
48,0.7368000000000001,0.46149999999999997,0.316,0.20489999999999997,0.1392
49,0.7404999999999999,0.4557,0.3235,0.21100000000000002,0.1392
50,0.7489,0.4693,0.32130000000000003,0.21239999999999998,0.1392
