epoch,0_percent,25_percent,50_percent,75_percent,100_percent
1,0.6274000000000001,0.0,0.0,0.0,0.0
2,0.6570999999999999,0.6554000000000001,0.6525,0.6297999999999999,0.4725
3,0.6718999999999999,0.6537999999999999,0.6527,0.6414,0.3036
4,0.6781,0.6646,0.6485,0.6245,0.38130000000000003
5,0.688,0.6672,0.6707,0.6603,0.2682
6,0.6817,0.6806,0.6734,0.6557,0.17300000000000001
7,0.6904,0.6726000000000001,0.6756,0.6592,0.198
8,0.6969,0.6795,0.6734,0.6579,0.1433
9,0.6931999999999999,0.6859000000000001,0.6787000000000001,0.6573,0.22640000000000002
10,0.6943,0.6919,0.6711,0.6489,0.32939999999999997
11,0.6972,0.6976,0.6787000000000001,0.664,0.1607
12,0.6920999999999999,0.6923999999999999,0.6862999999999999,0.6591,0.33240000000000003
13,0.703,0.6953,0.6843,0.6545000000000001,0.1862
14,0.6964,0.6918000000000001,0.6823999999999999,0.6568,0.1917
15,0.7012999999999999,0.6937000000000001,0.6729999999999999,0.6501,0.1514
16,0.7061,0.6908,0.6799,0.6645,0.17670000000000002
17,0.6951,0.6854,0.6817,0.6534,0.2298
18,0.7008,0.6889,0.6777,0.655,0.21170000000000003
19,0.6970000000000001,0.6904,0.675,0.6507999999999999,0.30329999999999996
20,0.6981,0.6854,0.6709,0.6556000000000001,0.228
21,0.6947,0.6898000000000001,0.6722,0.6556000000000001,0.18469999999999998
22,0.7027,0.6862999999999999,0.6654000000000001,0.653,0.2687
23,0.695,0.6907,0.6737000000000001,0.6562,0.2733
24,0.6912999999999999,0.6825,0.6689,0.6413,0.3553
25,0.693,0.688,0.6734,0.6537999999999999,0.42340000000000005
26,0.6912999999999999,0.6781,0.6761,0.6446999999999999,0.31579999999999997
27,0.6911,0.6795,0.6681999999999999,0.6472,0.1891
28,0.6917,0.6792,0.6728000000000001,0.6393,0.23579999999999998
29,0.6881999999999999,0.669,0.6628000000000001,0.6264,0.1499
30,0.6856,0.6724,0.6672,0.6436,0.1436
31,0.6817,0.6659999999999999,0.6575,0.6428,0.41979999999999995
32,0.6886,0.674,0.6592,0.6347999999999999,0.45130000000000003
33,0.6866,0.6722,0.6611,0.6346,0.1875
34,0.6837000000000001,0.6748999999999999,0.6645,0.6317,0.1681
35,0.6794,0.6725,0.6625,0.6378,0.2306
36,0.6801999999999999,0.6755,0.6611,0.6335999999999999,0.4539
37,0.6823,0.6737000000000001,0.6577,0.6327,0.2236
38,0.6762,0.6683,0.6518999999999999,0.6303,0.21489999999999998
39,0.6817,0.6695,0.6531,0.6325,0.2164
40,0.6737000000000001,0.6665000000000001,0.6567000000000001,0.6333,0.23079999999999998
41,0.6805,0.6746,0.6512,0.6245,0.1728
42,0.6709999999999999,0.6713,0.6524,0.6168,0.18309999999999998
43,0.6772,0.6620999999999999,0.6464,0.6184000000000001,0.2979
44,0.6683,0.6661,0.6522,0.6114999999999999,0.17350000000000002
45,0.6734,0.6622,0.6456000000000001,0.6157,0.34119999999999995
46,0.6709999999999999,0.6655,0.6554000000000001,0.6092,0.255
47,0.6822,0.6607999999999999,0.6397999999999999,0.6078,0.1864
48,0.6692,0.6643000000000001,0.6496999999999999,0.6085,0.2822
49,0.6726000000000001,0.6605,0.6314,0.6153,0.1728
50,0.6673,0.6592,0.639,0.6199,0.1861
