epoch,0_percent,25_percent,50_percent,75_percent,100_percent
1,0.0407,0.0,0.0,0.0,0.0
2,0.0801,0.30329999999999996,0.5322,0.7585999999999999,1.0
3,0.10210000000000001,0.3148,0.5379,0.7629,1.0001
4,0.1267,0.3146,0.5371,0.7637,0.9998999999999999
5,0.1489,0.3226,0.5387,0.7681,0.9998
6,0.1837,0.33240000000000003,0.5403,0.7665000000000001,1.0
7,0.2089,0.3496,0.5405,0.7663,1.0001
8,0.2281,0.3722,0.5445,0.7667,1.0001
9,0.247,0.3924,0.5461,0.7689,0.9995
10,0.2648,0.4104,0.5490999999999999,0.7701,1.0003
11,0.28190000000000004,0.4213,0.5521,0.7754000000000001,1.0
12,0.2963,0.42950000000000005,0.5539000000000001,0.778,1.0006
13,0.31670000000000004,0.4476,0.5579999999999999,0.7845,0.9998999999999999
14,0.3273,0.45399999999999996,0.5624,0.7863,0.9989
15,0.34630000000000005,0.46759999999999996,0.5761,0.7878000000000001,1.0006
16,0.3605,0.4732,0.5919,0.7874,0.9994
17,0.3772,0.479,0.6013000000000001,0.7915000000000001,1.0012999999999999
18,0.39,0.4854,0.6059,0.7940999999999999,0.9998999999999999
19,0.40759999999999996,0.4928,0.6121,0.7967,1.0001
20,0.42119999999999996,0.4996,0.6143,0.7933,0.9983
21,0.43420000000000003,0.5036999999999999,0.6222,0.7974,1.0004
22,0.44659999999999994,0.5113,0.6238,0.7996,1.0006
23,0.45840000000000003,0.5186,0.6294,0.8018000000000001,1.0008
24,0.47200000000000003,0.5256000000000001,0.6302,0.804,0.9986
25,0.4803,0.5323,0.6354,0.8037000000000001,1.0011
26,0.4903,0.5309,0.6406000000000001,0.8031,0.9987
27,0.4997,0.5445,0.6431,0.8076000000000001,1.0014
28,0.5085000000000001,0.5447,0.6453,0.8096,0.9987999999999999
29,0.5225,0.5556,0.6559,0.8116,1.0017
30,0.5305,0.5638000000000001,0.6551,0.8106,0.9989
31,0.541,0.5658,0.6629999999999999,0.8155,0.9989
32,0.5512,0.5704,0.6616,0.8111,1.0021
33,0.5578,0.578,0.6662,0.816,0.9990000000000001
34,0.5774,0.5788,0.6674,0.8109999999999999,0.9990000000000001
35,0.5836,0.586,0.6753,0.8159000000000001,1.0025
36,0.5964,0.586,0.6762999999999999,0.8175,0.9991
37,0.6092,0.5928,0.6807,0.8154,0.9991
38,0.622,0.6034,0.6851,0.8206,0.9991
39,0.627,0.6026,0.6856,0.8183,0.9991
40,0.6314,0.6052000000000001,0.6898000000000001,0.8197,1.0031
41,0.6434000000000001,0.6115999999999999,0.6940000000000001,0.8210999999999999,0.9992
42,0.6512,0.6138,0.6981999999999999,0.8225,0.9992
43,0.6587000000000001,0.6243,0.7023999999999999,0.8239,0.9992
44,0.6659,0.6219,0.7021999999999999,0.8209000000000001,0.9992
45,0.6683,0.6279,0.7062,0.8266,1.0037
46,0.6747,0.6293,0.7056,0.8234,0.9993000000000001
47,0.6855,0.6351,0.7141,0.8293,0.9993000000000001
48,0.6867,0.6313,0.7181000000000001,0.8259000000000001,0.9993000000000001
49,0.6873,0.6367,0.7123,0.8271,0.9993000000000001
50,0.7023,0.6470999999999999,0.7209,0.8283,0.9993000000000001
