epoch,0_percent,25_percent,50_percent,75_percent,100_percent
1,0.5318,0.2957,0.09720000000000001,0.0042,0.0075
2,0.64,0.3925,0.1388,0.002,0.024300000000000002
3,0.6726000000000001,0.4224,0.1558,0.0007000000000000001,0.030899999999999997
4,0.69,0.4366,0.165,-0.0001,0.0353
5,0.6990999999999999,0.45030000000000003,0.17670000000000002,0.0007000000000000001,0.035
6,0.7037,0.45289999999999997,0.17190000000000003,-0.0003,0.0374
7,0.7087,0.46090000000000003,0.17120000000000002,0.0005,0.0382
8,0.7141,0.46630000000000005,0.1794,0.0003,0.0378
9,0.7141,0.4672,0.1777,0.0001,0.0398
10,0.7159,0.4672,0.18530000000000002,-0.0001,0.0388
11,0.7153,0.4675,0.18059999999999998,0.0008,0.04019999999999999
12,0.7147,0.4693,0.17559999999999998,-0.0004,0.0404
13,0.7175,0.47119999999999995,0.1802,0.0007000000000000001,0.0364
14,0.7155,0.46380000000000005,0.17980000000000002,-0.0007000000000000001,0.0368
15,0.718,0.4657,0.18030000000000002,0.0006,0.0387
16,0.7170000000000001,0.4673,0.1869,0.0006,0.0377
17,0.7168000000000001,0.46520000000000006,0.1757,0.0006,0.0364
18,0.7142000000000001,0.4658,0.1765,0.0006,0.0366
19,0.7145,0.4623,0.1887,-0.0013,0.0349
20,0.7105,0.4639,0.1747,0.0005,0.0349
21,0.7119,0.4592,0.1772,0.0005,0.0349
22,0.7111,0.45799999999999996,0.17120000000000002,0.0005,0.0305
23,0.7123,0.45880000000000004,0.17350000000000002,0.0005,0.032400000000000005
24,0.7111,0.462,0.1761,0.0005,0.0346
25,0.7071,0.45549999999999996,0.17149999999999999,-0.002,0.0321
26,0.7051000000000001,0.4559,0.17670000000000002,0.0004,0.0319
27,0.7028,0.4536,0.17170000000000002,0.0004,0.0317
28,0.703,0.451,0.1773,0.0004,0.0287
29,0.7031999999999999,0.4481,0.17190000000000003,0.0004,0.031200000000000002
30,0.7004,0.4449,0.1659,0.0004,0.027999999999999997
31,0.6973,0.4445,0.1655,0.0004,0.0276
32,0.6970999999999999,0.4473,0.16190000000000002,0.0004,0.024
33,0.6936,0.44049999999999995,0.17120000000000002,0.0004,0.023399999999999997
34,0.7,0.4399,0.17120000000000002,0.0004,0.022799999999999997
35,0.693,0.43579999999999997,0.1642,0.0004,0.0222
36,0.6926000000000001,0.435,0.1638,0.0004,0.0252
37,0.6922,0.4305,0.1671,0.0004,0.021099999999999997
38,0.688,0.43329999999999996,0.1745,0.0004,0.020499999999999997
39,0.6835,0.4286,0.163,0.0004,0.0199
40,0.6867,0.4276,0.1586,0.0004,0.0233
41,0.682,0.4307,0.158,0.0004,0.0147
42,0.6812,0.4299,0.17,0.0004,0.0139
43,0.6804000000000001,0.42479999999999996,0.16140000000000002,0.0004,0.0174
44,0.6751999999999999,0.4282,0.1654,0.0004,0.0124
45,0.6831999999999999,0.41840000000000005,0.1607,0.0049,0.0161
46,0.6779999999999999,0.4218,0.15109999999999998,0.0005,0.0109
47,0.6819,0.41609999999999997,0.1503,0.0005,0.0101
48,0.6812999999999999,0.42450000000000004,0.1543,0.0005,0.009300000000000001
49,0.6709,0.4188,0.1537,0.0005,0.0134
50,0.6698999999999999,0.4228,0.1531,0.0005,0.0078000000000000005
