epoch,0_percent,25_percent,50_percent,75_percent,100_percent
1,0.6274000000000001,0.6011,0.5131,0.4534,0.0708
2,0.6570999999999999,0.6076,0.5514,0.43450000000000005,0.0704
3,0.6718999999999999,0.6239,0.5718,0.4767,0.0704
4,0.6781,0.6378,0.5978,0.5146000000000001,0.0639
5,0.688,0.6377,0.5916,0.4717,0.0674
6,0.6817,0.649,0.6111,0.5307999999999999,0.0697
7,0.6904,0.6479,0.5902000000000001,0.5182,0.06849999999999999
8,0.6969,0.6523,0.6207,0.5457,0.071
9,0.6931999999999999,0.6559999999999999,0.5989,0.5466,0.0706
10,0.6943,0.653,0.5913,0.49920000000000003,0.0681
11,0.6972,0.6535,0.6114,0.5454,0.0674
12,0.6920999999999999,0.6442,0.5942000000000001,0.5068,0.0702
13,0.703,0.6690999999999999,0.6175999999999999,0.5543,0.0689
14,0.6964,0.652,0.6092,0.5506,0.07
15,0.7012999999999999,0.6448,0.5767,0.504,0.0699
16,0.7061,0.6631999999999999,0.6175999999999999,0.5475,0.0739
17,0.6951,0.6551,0.5982,0.5466,0.0689
18,0.7008,0.652,0.6049,0.5315,0.0692
19,0.6970000000000001,0.6629999999999999,0.6149,0.5351,0.06849999999999999
20,0.6981,0.6444,0.5954999999999999,0.5122,0.0708
21,0.6947,0.6469,0.6111,0.5331,0.0689
22,0.7027,0.649,0.6127,0.5154,0.0701
23,0.695,0.6503,0.6012,0.5149,0.0699
24,0.6912999999999999,0.6566,0.6014,0.5289,0.06559999999999999
25,0.693,0.6581999999999999,0.5875,0.5271,0.0682
26,0.6912999999999999,0.6376,0.5934,0.5241,0.06860000000000001
27,0.6911,0.6524,0.5947,0.51,0.0682
28,0.6917,0.6451,0.5891,0.4963,0.0678
29,0.6881999999999999,0.6456000000000001,0.6043999999999999,0.5314,0.0716
30,0.6856,0.6443000000000001,0.581,0.5041,0.0692
31,0.6817,0.629,0.5690999999999999,0.46909999999999996,0.0655
32,0.6886,0.6401,0.5901,0.49420000000000003,0.0701
33,0.6866,0.6333,0.5708,0.4754,0.0672
34,0.6837000000000001,0.6355,0.5821000000000001,0.5084000000000001,0.0727
35,0.6794,0.6428,0.5816,0.4947,0.0704
36,0.6801999999999999,0.6249,0.5611999999999999,0.44049999999999995,0.0701
37,0.6823,0.6332,0.5882000000000001,0.48810000000000003,0.067
38,0.6762,0.6429,0.5909,0.4603,0.0723
39,0.6817,0.633,0.5863,0.4924,0.0699
40,0.6737000000000001,0.6256,0.5759000000000001,0.4966,0.0691
41,0.6805,0.6299,0.5739,0.4473,0.0716
42,0.6709999999999999,0.6332,0.584,0.47909999999999997,0.0668
43,0.6772,0.6304,0.5666,0.46799999999999997,0.0719
44,0.6683,0.6275,0.5663,0.44799999999999995,0.0693
45,0.6734,0.626,0.5870000000000001,0.46299999999999997,0.0707
46,0.6709999999999999,0.6224000000000001,0.5626,0.45,0.0682
47,0.6822,0.6378,0.5771000000000001,0.4852,0.0655
48,0.6692,0.6294,0.5720000000000001,0.4409,0.0696
49,0.6726000000000001,0.6222,0.5634,0.43090000000000006,0.0706
50,0.6673,0.6275999999999999,0.5817,0.46159999999999995,0.0697
